device NVIDIA A100 80GB PCIe, triton 3.0.0
  table root 1: coverage 63.29%  [2s]
  table root 2: coverage 26.43%  [3s]
  table root 3: coverage 7.98%  [6s]
[2026-09-04 15:06:50] TRITON R=20 roots=3 seed=1138247750 target=ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
[2026-09-04 15:09:52] ctx 32: 4,294,967,296 a0 in 4.8s | cumulative a0 1.417e+11 sub 13,292,213 ver 0 | 7.81e+08 a0/s | expected preimages so far 0.003
[2026-09-04 15:09:57] ctx 33: 4,294,967,296 a0 in 4.8s | cumulative a0 1.460e+11 sub 13,695,050 ver 0 | 7.83e+08 a0/s | expected preimages so far 0.003
[2026-09-04 15:10:02] ctx 34: 4,294,967,296 a0 in 4.8s | cumulative a0 1.503e+11 sub 14,097,718 ver 0 | 7.86e+08 a0/s | expected preimages so far 0.003
[2026-09-04 15:10:06] ctx 35: 4,294,967,296 a0 in 4.8s | cumulative a0 1.546e+11 sub 14,501,710 ver 0 | 7.89e+08 a0/s | expected preimages so far 0.003
[2026-09-04 15:10:11] ctx 36: 4,294,967,296 a0 in 4.8s | cumulative a0 1.589e+11 sub 14,905,246 ver 0 | 7.91e+08 a0/s | expected preimages so far 0.003
[2026-09-04 15:10:16] ctx 37: 4,294,967,296 a0 in 4.8s | cumulative a0 1.632e+11 sub 15,308,250 ver 0 | 7.94e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:21] ctx 38: 4,294,967,296 a0 in 4.8s | cumulative a0 1.675e+11 sub 15,712,370 ver 0 | 7.96e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:26] ctx 39: 4,294,967,296 a0 in 4.8s | cumulative a0 1.718e+11 sub 16,114,463 ver 0 | 7.98e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:30] ctx 40: 4,294,967,296 a0 in 4.8s | cumulative a0 1.761e+11 sub 16,516,473 ver 0 | 8.00e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:35] ctx 41: 4,294,967,296 a0 in 4.8s | cumulative a0 1.804e+11 sub 16,919,005 ver 0 | 8.02e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:40] ctx 42: 4,294,967,296 a0 in 4.8s | cumulative a0 1.847e+11 sub 17,322,605 ver 0 | 8.04e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:45] ctx 43: 4,294,967,296 a0 in 4.8s | cumulative a0 1.890e+11 sub 17,725,725 ver 0 | 8.06e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:50] ctx 44: 4,294,967,296 a0 in 4.8s | cumulative a0 1.933e+11 sub 18,128,933 ver 0 | 8.08e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:54] ctx 45: 4,294,967,296 a0 in 4.8s | cumulative a0 1.976e+11 sub 18,531,622 ver 0 | 8.09e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:59] ctx 46: 4,294,967,296 a0 in 4.8s | cumulative a0 2.019e+11 sub 18,936,484 ver 0 | 8.11e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:11:04] ctx 47: 4,294,967,296 a0 in 4.8s | cumulative a0 2.062e+11 sub 19,339,204 ver 0 | 8.12e+08 a0/s | expected preimages so far 0.005
