[2026-09-04 15:07:11] TRITON R=20 roots=3 seed=3971886063 target=ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
[2026-09-04 15:10:14] ctx 33: 4,294,967,296 a0 in 4.7s | cumulative a0 1.460e+11 sub 13,693,404 ver 0 | 7.95e+08 a0/s | expected preimages so far 0.003
[2026-09-04 15:10:19] ctx 34: 4,294,967,296 a0 in 4.7s | cumulative a0 1.503e+11 sub 14,097,175 ver 0 | 7.98e+08 a0/s | expected preimages so far 0.003
[2026-09-04 15:10:24] ctx 35: 4,294,967,296 a0 in 4.7s | cumulative a0 1.546e+11 sub 14,498,873 ver 0 | 8.01e+08 a0/s | expected preimages so far 0.003
[2026-09-04 15:10:29] ctx 36: 4,294,967,296 a0 in 4.7s | cumulative a0 1.589e+11 sub 14,900,629 ver 0 | 8.03e+08 a0/s | expected preimages so far 0.003
[2026-09-04 15:10:33] ctx 37: 4,294,967,296 a0 in 4.7s | cumulative a0 1.632e+11 sub 15,302,229 ver 0 | 8.06e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:38] ctx 38: 4,294,967,296 a0 in 4.7s | cumulative a0 1.675e+11 sub 15,704,730 ver 0 | 8.08e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:43] ctx 39: 4,294,967,296 a0 in 4.7s | cumulative a0 1.718e+11 sub 16,107,528 ver 0 | 8.10e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:47] ctx 40: 4,294,967,296 a0 in 4.7s | cumulative a0 1.761e+11 sub 16,511,778 ver 0 | 8.13e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:52] ctx 41: 4,294,967,296 a0 in 4.7s | cumulative a0 1.804e+11 sub 16,914,735 ver 0 | 8.15e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:10:57] ctx 42: 4,294,967,296 a0 in 4.7s | cumulative a0 1.847e+11 sub 17,317,675 ver 0 | 8.17e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:11:02] ctx 43: 4,294,967,296 a0 in 4.7s | cumulative a0 1.890e+11 sub 17,720,877 ver 0 | 8.18e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:11:06] ctx 44: 4,294,967,296 a0 in 4.7s | cumulative a0 1.933e+11 sub 18,124,432 ver 0 | 8.20e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:11:11] ctx 45: 4,294,967,296 a0 in 4.7s | cumulative a0 1.976e+11 sub 18,527,297 ver 0 | 8.22e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:11:16] ctx 46: 4,294,967,296 a0 in 4.7s | cumulative a0 2.019e+11 sub 18,929,590 ver 0 | 8.24e+08 a0/s | expected preimages so far 0.004
[2026-09-04 15:11:20] ctx 47: 4,294,967,296 a0 in 4.7s | cumulative a0 2.062e+11 sub 19,332,013 ver 0 | 8.25e+08 a0/s | expected preimages so far 0.005
